generation, best_individual, average_fitness
1, 216591.58, 57405.846
2, 217345.91, 133604.08000000002
3, 219643.89, 167261.8046
4, 219643.89, 185670.98239999998
5, 220792.65, 197466.44369999997
6, 223062.56, 204712.78790000014
7, 223062.56, 209565.10150000014
8, 223062.56, 212944.0619
9, 223492.53, 215227.34209999992
10, 225056.17, 217103.8916
11, 225668.4, 218587.89919999996
12, 226179.88, 219916.86579999988
13, 230289.82, 221203.42419999986
14, 230289.82, 222402.4701999999
15, 230289.82, 223928.08939999994
16, 230289.82, 224869.5866
17, 233375.33, 225944.33900000004
18, 233375.33, 226929.03009999992
19, 233375.33, 227811.44999999992
20, 233830.07, 228616.1967000001
21, 234961.56, 229524.04349999997
22, 235023.33, 230224.68649999998
23, 235023.33, 230803.3745999999
24, 235183.37, 231213.98259999993
25, 236678.87, 231796.67679999996
26, 236678.87, 232401.79599999991
27, 236678.87, 232796.53849999982
28, 237031.55, 233486.4162
29, 237031.55, 233861.28579999998
30, 237031.55, 234313.26299999998
31, 237361.72, 234713.48999999996
32, 237373.01, 235063.00430000006
33, 237373.01, 235346.4994
34, 238401.58, 235677.07779999997
35, 238401.58, 235894.62380000006
36, 238401.58, 235999.81160000007
37, 238401.58, 236214.28270000004
38, 238401.58, 236467.71109999993
39, 238401.58, 236710.04609999992
40, 239141.64, 236947.96219999992
41, 239141.64, 237125.5012
42, 239141.64, 237351.61980000004
43, 239141.64, 237535.76030000005
44, 239141.64, 237675.67450000002
45, 239235.27, 237853.70680000007
46, 240203.49, 237994.5007
47, 240203.49, 238136.54680000007
48, 240276.07, 238272.38750000007
49, 240276.07, 238386.28700000007
50, 240649.94, 238555.5578000001
51, 240649.94, 238730.0425000001
52, 240649.94, 238837.57720000006
53, 240649.94, 238921.6009000001
54, 240649.94, 239012.99500000014
55, 240649.94, 239120.31330000013
1, 202024.03, 56118.1383
2, 220599.96, 144603.60760000005
3, 221803.1, 175038.60820000005
4, 221803.1, 186127.94910000009
5, 221803.1, 194801.57130000007
6, 222166.65, 201665.71909999996
7, 222166.65, 206273.29210000002
8, 224941.81, 210178.5941
9, 224941.81, 212650.44250000003
10, 224941.81, 214436.4632000001
11, 231082.54, 216425.06320000003
12, 231082.54, 218156.6538
13, 231082.54, 219557.43259999994
14, 231157.25, 221557.72369999994
15, 231157.25, 222992.91170000006
16, 231157.25, 224539.07030000008
17, 231157.25, 225909.11050000004
18, 232643.13, 227452.83059999996
19, 233452.87, 228603.66
20, 234203.62, 229763.35400000002
21, 236122.96, 231039.5184
22, 236470.47, 231807.38370000003
23, 236470.47, 232289.98500000007
24, 236470.47, 232810.27980000008
25, 238264.84, 233410.6432
26, 238264.84, 233899.95589999997
27, 238264.84, 234323.60249999995
28, 238264.84, 234701.74620000005
29, 238264.84, 235125.36459999997
30, 238264.84, 235548.04199999996
31, 238264.84, 235967.8322999998
32, 238753.17, 236145.7141999999
33, 238753.17, 236436.51079999993
34, 238753.17, 236591.41349999997
35, 238753.17, 236757.56369999994
36, 238753.17, 236934.3791999999
37, 239375.63, 237198.36159999997
38, 239592.38, 237344.89760000005
39, 239592.38, 237516.15880000018
40, 239592.38, 237596.04250000007
41, 239592.38, 237714.05490000013
42, 239592.38, 237807.89870000014
43, 239592.38, 237900.4406000001
44, 239592.38, 238077.5165
45, 239592.38, 238159.30359999998
46, 239592.38, 238251.93369999997
47, 239592.38, 238255.36539999998
48, 239848.83, 238373.51249999995
1, 216510.33, 43109.8161
2, 223826.48, 131464.30220000003
3, 223826.48, 164280.79570000002
4, 223826.48, 176558.96110000004
5, 224291.05, 189684.5662
6, 224291.05, 197114.31750000006
7, 226282.5, 202948.56760000007
8, 226282.5, 208741.41380000004
9, 227034.52, 214750.6009
10, 227311.96, 218797.53720000002
11, 228645.67, 221471.09450000004
12, 228645.67, 223249.85650000005
13, 231630.55, 224554.82930000007
14, 231630.55, 225641.0049999999
15, 233004.29, 226888.20549999998
16, 233948.42, 228259.93950000004
17, 237720.38, 229430.32850000018
18, 238167.62, 230182.7549000001
19, 238167.62, 231288.65090000007
20, 238167.62, 232236.48900000015
21, 238167.62, 233020.68820000015
22, 238167.62, 233732.1096000001
23, 238167.62, 234623.9937000001
24, 238830.12, 235140.4007000001
25, 238984.67, 235741.36269999997
26, 239198.38, 236396.26070000004
27, 239469.86, 236770.05570000003
28, 239469.86, 237056.90470000007
29, 239469.86, 237281.48580000014
30, 239651.31, 237580.33410000007
31, 239940.39, 237811.41030000002
32, 239940.39, 237992.8570999999
33, 239940.39, 238261.7323
34, 240184.03, 238394.05400000006
35, 240184.03, 238529.5983000001
36, 240184.03, 238630.12240000014
37, 240584.16, 238728.74870000008
38, 240584.16, 238833.49639999997
39, 240584.16, 238909.135
40, 240584.16, 238986.13620000004
1, 201885.12, 41348.052800000005
2, 225000.81, 117452.97899999999
