time_ams,time,epex_price,tennet_short,tennet_long
2021-01-01 18:30:00+01:00,2021-01-01 18:30:00,60.61,42.63,42.63
2021-01-01 18:45:00+01:00,2021-01-01 18:45:00,60.61,42.63,42.63
2021-01-01 19:00:00+01:00,2021-01-01 19:00:00,60.36,29.77,29.77
2021-01-01 19:15:00+01:00,2021-01-01 19:15:00,60.36,29.77,29.77
2021-01-01 19:30:00+01:00,2021-01-01 19:30:00,60.36,43.73,34.24
2021-01-01 19:45:00+01:00,2021-01-01 19:45:00,60.36,31.24,31.24
2021-01-01 20:00:00+01:00,2021-01-01 20:00:00,57.4,50.97,50.97
2021-01-01 20:15:00+01:00,2021-01-01 20:15:00,57.4,243.74,243.74
2021-01-01 20:30:00+01:00,2021-01-01 20:30:00,57.4,43.47,43.47
2021-01-01 20:45:00+01:00,2021-01-01 20:45:00,57.4,34.75,34.75
2021-01-01 21:00:00+01:00,2021-01-01 21:00:00,53.86,35.25,35.25
2021-01-01 21:15:00+01:00,2021-01-01 21:15:00,53.86,43.15,43.15
2021-01-01 21:30:00+01:00,2021-01-01 21:30:00,53.86,34.75,34.75
2021-01-01 21:45:00+01:00,2021-01-01 21:45:00,53.86,34.75,34.75
2021-01-01 22:00:00+01:00,2021-01-01 22:00:00,53.45,37.24,37.24
2021-01-01 22:15:00+01:00,2021-01-01 22:15:00,53.45,34.24,34.24
2021-01-01 22:30:00+01:00,2021-01-01 22:30:00,53.45,29.77,29.77
2021-01-01 22:45:00+01:00,2021-01-01 22:45:00,53.45,29.77,29.77
2021-01-01 23:00:00+01:00,2021-01-01 23:00:00,49.72,34.24,34.24
2021-01-01 23:15:00+01:00,2021-01-01 23:15:00,49.72,12.27,12.27
2021-01-01 23:30:00+01:00,2021-01-01 23:30:00,49.72,34.45,34.45
2021-01-01 23:45:00+01:00,2021-01-01 23:45:00,49.72,34.24,34.24
2021-01-02 00:00:00+01:00,2021-01-02 00:00:00,46.69,11.94,11.94
2021-01-02 00:15:00+01:00,2021-01-02 00:15:00,46.69,33.91,33.91
2021-01-02 00:30:00+01:00,2021-01-02 00:30:00,46.69,29.44,29.44
2021-01-02 00:45:00+01:00,2021-01-02 00:45:00,46.69,29.44,29.44
2021-01-02 01:00:00+01:00,2021-01-02 01:00:00,42.43,29.86,29.86
2021-01-02 01:15:00+01:00,2021-01-02 01:15:00,42.43,41.81,41.81
2021-01-02 01:30:00+01:00,2021-01-02 01:30:00,42.43,39.45,39.45
2021-01-02 01:45:00+01:00,2021-01-02 01:45:00,42.43,34.86,34.86
2021-01-02 02:00:00+01:00,2021-01-02 02:00:00,41.09,34.75,34.75
2021-01-02 02:15:00+01:00,2021-01-02 02:15:00,41.09,41.81,41.81
2021-01-02 02:30:00+01:00,2021-01-02 02:30:00,41.09,37.25,37.25
2021-01-02 02:45:00+01:00,2021-01-02 02:45:00,41.09,31.72,31.72
2021-01-02 03:00:00+01:00,2021-01-02 03:00:00,40.0,31.45,31.45
2021-01-02 03:15:00+01:00,2021-01-02 03:15:00,40.0,41.42,41.42
2021-01-02 03:30:00+01:00,2021-01-02 03:30:00,40.0,31.45,31.45
2021-01-02 03:45:00+01:00,2021-01-02 03:45:00,40.0,15.0,15.0
2021-01-02 04:00:00+01:00,2021-01-02 04:00:00,37.55,31.72,31.72
2021-01-02 04:15:00+01:00,2021-01-02 04:15:00,37.55,41.42,41.42
2021-01-02 04:30:00+01:00,2021-01-02 04:30:00,37.55,34.44,34.44
2021-01-02 04:45:00+01:00,2021-01-02 04:45:00,37.55,31.45,31.45
2021-01-02 05:00:00+01:00,2021-01-02 05:00:00,39.0,34.45,34.45
2021-01-02 05:15:00+01:00,2021-01-02 05:15:00,39.0,32.81,32.81
2021-01-02 05:30:00+01:00,2021-01-02 05:30:00,39.0,33.91,33.91
2021-01-02 05:45:00+01:00,2021-01-02 05:45:00,39.0,41.42,41.42
2021-01-02 06:00:00+01:00,2021-01-02 06:00:00,42.09,34.83,34.83
2021-01-02 06:15:00+01:00,2021-01-02 06:15:00,42.09,-0.95,-0.95
2021-01-02 06:30:00+01:00,2021-01-02 06:30:00,42.09,33.91,33.91
2021-01-02 06:45:00+01:00,2021-01-02 06:45:00,42.09,34.25,34.25
2021-01-02 07:00:00+01:00,2021-01-02 07:00:00,44.96,34.25,34.25
2021-01-02 07:15:00+01:00,2021-01-02 07:15:00,44.96,18.46,18.46
2021-01-02 07:30:00+01:00,2021-01-02 07:30:00,44.96,29.53,29.53
2021-01-02 07:45:00+01:00,2021-01-02 07:45:00,44.96,37.1,37.1
2021-01-02 08:00:00+01:00,2021-01-02 08:00:00,48.45,42.67,42.67
2021-01-02 08:15:00+01:00,2021-01-02 08:15:00,48.45,41.5,41.5
2021-01-02 08:30:00+01:00,2021-01-02 08:30:00,48.45,41.51,41.51
2021-01-02 08:45:00+01:00,2021-01-02 08:45:00,48.45,53.25,53.25
2021-01-02 09:00:00+01:00,2021-01-02 09:00:00,52.0,133.17,133.17
2021-01-02 09:15:00+01:00,2021-01-02 09:15:00,52.0,52.04,52.04
2021-01-02 09:30:00+01:00,2021-01-02 09:30:00,52.0,49.25,49.25
2021-01-02 09:45:00+01:00,2021-01-02 09:45:00,52.0,49.25,49.25
2021-01-02 10:00:00+01:00,2021-01-02 10:00:00,52.0,46.52,46.52
2021-01-02 10:15:00+01:00,2021-01-02 10:15:00,52.0,46.52,46.52
2021-01-02 10:30:00+01:00,2021-01-02 10:30:00,52.0,53.25,53.25
2021-01-02 10:45:00+01:00,2021-01-02 10:45:00,52.0,46.52,46.52
2021-01-02 11:00:00+01:00,2021-01-02 11:00:00,52.15,85.15,85.15
2021-01-02 11:15:00+01:00,2021-01-02 11:15:00,52.15,85.15,85.15
2021-01-02 11:30:00+01:00,2021-01-02 11:30:00,52.15,50.3,50.3
2021-01-02 11:45:00+01:00,2021-01-02 11:45:00,52.15,46.25,46.25
2021-01-02 12:00:00+01:00,2021-01-02 12:00:00,55.95,277.99,277.99
2021-01-02 12:15:00+01:00,2021-01-02 12:15:00,55.95,49.56,49.56
2021-01-02 12:30:00+01:00,2021-01-02 12:30:00,55.95,405.95,405.95
2021-01-02 12:45:00+01:00,2021-01-02 12:45:00,55.95,112.78,112.78
2021-01-02 13:00:00+01:00,2021-01-02 13:00:00,52.0,44.27,37.27
2021-01-02 13:15:00+01:00,2021-01-02 13:15:00,52.0,49.25,49.25
2021-01-02 13:30:00+01:00,2021-01-02 13:30:00,52.0,55.53,55.53
2021-01-02 13:45:00+01:00,2021-01-02 13:45:00,52.0,41.79,41.79
2021-01-02 14:00:00+01:00,2021-01-02 14:00:00,50.69,41.8,41.8
2021-01-02 14:15:00+01:00,2021-01-02 14:15:00,50.69,44.91,44.91
2021-01-02 14:30:00+01:00,2021-01-02 14:30:00,50.69,59.25,59.25
2021-01-02 14:45:00+01:00,2021-01-02 14:45:00,50.69,47.8,47.8
2021-01-02 15:00:00+01:00,2021-01-02 15:00:00,53.45,49.25,49.25
2021-01-02 15:15:00+01:00,2021-01-02 15:15:00,53.45,47.9,47.9
2021-01-02 15:30:00+01:00,2021-01-02 15:30:00,53.45,73.45,73.45
2021-01-02 15:45:00+01:00,2021-01-02 15:45:00,53.45,118.45,118.45
2021-01-02 16:00:00+01:00,2021-01-02 16:00:00,59.99,47.8,47.8
2021-01-02 16:15:00+01:00,2021-01-02 16:15:00,59.99,39.99,39.99
2021-01-02 16:30:00+01:00,2021-01-02 16:30:00,59.99,48.49,48.49
2021-01-02 16:45:00+01:00,2021-01-02 16:45:00,59.99,124.99,124.99
2021-01-02 17:00:00+01:00,2021-01-02 17:00:00,62.0,127.0,34.77
2021-01-02 17:15:00+01:00,2021-01-02 17:15:00,62.0,65.48,65.48
2021-01-02 17:30:00+01:00,2021-01-02 17:30:00,62.0,82.0,82.0
2021-01-02 17:45:00+01:00,2021-01-02 17:45:00,62.0,43.64,43.64
2021-01-02 18:00:00+01:00,2021-01-02 18:00:00,63.08,41.8,41.8
2021-01-02 18:15:00+01:00,2021-01-02 18:15:00,63.08,41.79,41.79
2021-01-02 18:30:00+01:00,2021-01-02 18:30:00,63.08,41.8,41.8
2021-01-02 18:45:00+01:00,2021-01-02 18:45:00,63.08,41.79,41.79
2021-01-02 19:00:00+01:00,2021-01-02 19:00:00,62.17,39.99,39.99
2021-01-02 19:15:00+01:00,2021-01-02 19:15:00,62.17,39.99,39.99
